0.590762,0.644454,0.646369,0.633653,0.613074,0.656688,0.630991,
0.646278,0.634274,0.643674,0.622836,0.603606,0.662554,0.604247,
0.617722,0.603687,0.645335,0.574954,0.650868,0.610186,0.645327,
0.604760,0.581833,0.638918,0.664439,0.599566,0.607439,0.630723,
0.639131,0.663094,0.595080,0.572657,0.609820,0.612783,0.666008,
0.624475,0.654861,0.639179,0.585296,0.617087,0.610252,0.630762,
0.619530,0.624036,0.645686,0.577063,0.621336,0.655060,0.598565,
-0.637630,-0.646878,-0.657852,-0.701679,-0.707872,-0.711703,-0.654221,
-0.709625,-0.705404,-0.731486,-0.734294,-0.654366,-0.695224,-0.702729,
-0.676748,-0.647850,-0.664363,-0.687668,-0.724434,-0.676617,-0.659262,
-0.707720,-0.681961,-0.669059,-0.735564,-0.732998,-0.698235,-0.735266,
-0.696075,-0.646806,-0.728325,-0.731775,-0.717282,-0.723380,-0.725170,
-0.724300,-0.721203,-0.702390,-0.720418,-0.652015,-0.672139,-0.710885,
-0.722875,-0.689028,-0.645838,-0.694722,-0.696237,-0.712097,-0.697746,
-0.050551,-0.044189,0.021732,0.023693,-0.047098,-0.028840,-0.008704,
0.047133,0.038450,0.018851,0.016011,-0.001422,-0.015138,0.027858,
0.021420,-0.021460,-0.027880,-0.005007,0.005158,-0.028071,-0.038611,
0.008861,0.026903,0.012572,0.002840,0.022720,-0.013648,0.005896,
0.045378,-0.030129,0.032724,0.024031,0.005638,0.022562,-0.015887,
0.003479,-0.021643,-0.029602,0.003562,0.026155,0.011138,-0.014864,
-0.048286,0.028494,-0.037443,-0.018279,0.002000,-0.049797,-0.024357
